occurrenceID	scientificName	order	family	genus	specificEpithet	country	institutionCode	catalogNumber	recordedBy	recordNumber	dynamicProperties	associatedSequences	basisOfRecord	kingdom
s18517	Amborella trichopoda	Amborellales	Amborellaceae	Amborella	trichopoda						{"phylogenies": [{"phyloTreeTipLabel": "Amborellales_Amborellaceae_Amborella_trichopoda", "phyloTreeFileName": "global_tree_renamed.nex"}]}		MaterialCitation	Plantae
s17365	Austrobaileya scandens	Austrobaileyales	Austrobaileyaceae	Austrobaileya	scandens		GA		Leebens-Mack, J.	2013-22	{"phylogenies": [{"phyloTreeTipLabel": "Austrobaileyales_Austrobaileyaceae_Austrobaileya_scandens", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR2040119	MaterialCitation	Plantae
s18271	Illicium floridanum	Austrobaileyales	Schisandraceae	Illicium	floridanum				Soltis	2960	{"phylogenies": [{"phyloTreeTipLabel": "Austrobaileyales_Schisandraceae_Illicium_floridanum", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR2040118	MaterialCitation	Plantae
s18003	Illicium parviflorum	Austrobaileyales	Schisandraceae	Illicium	parviflorum				Soltis	2799	{"phylogenies": [{"phyloTreeTipLabel": "Austrobaileyales_Schisandraceae_Illicium_parviflorum", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR2040117	MaterialCitation	Plantae
s17799	Kadsura heteroclita	Austrobaileyales	Schisandraceae	Kadsura	heteroclita				Chen, T.	081210-04	{"phylogenies": [{"phyloTreeTipLabel": "Austrobaileyales_Schisandraceae_Kadsura_heteroclita", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR364331	MaterialCitation	Plantae
s01006	Schisandra rubriflora	Austrobaileyales	Schisandraceae	Schisandra	rubriflora		K		Chase, M.W.	3849	{"phylogenies": [{"phyloTreeTipLabel": "Austrobaileyales_Schisandraceae_Schisandra_rubriflora", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR4180153	MaterialCitation	Plantae
s00948	Trimenia moorei	Austrobaileyales	Trimeniaceae	Trimenia	moorei	Australia	K		Chase, M.W.	455	{"phylogenies": [{"phyloTreeTipLabel": "Austrobaileyales_Trimeniaceae_Trimenia_moorei", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5006124	MaterialCitation	Plantae
s05289	Brasenia schreberi	Nymphaeales	Cabombaceae	Brasenia	schreberi		K		Maurin, O.	4395	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Cabombaceae_Brasenia_schreberi", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7618329	MaterialCitation	Plantae
s05404	Cabomba caroliniana	Nymphaeales	Cabombaceae	Cabomba	caroliniana		K	MO2739816	Stevens, W.D.	34973	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Cabombaceae_Cabomba_caroliniana", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR4180008	MaterialCitation	Plantae
s05408	Trithuria austinensis	Nymphaeales	Hydatellaceae	Trithuria	austinensis		K				{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Hydatellaceae_Trithuria_austinensis", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR4179984	MaterialCitation	Plantae
s07034	Trithuria filamentosa	Nymphaeales	Hydatellaceae	Trithuria	filamentosa		K	K001275292	Moscal, A.	13940	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Hydatellaceae_Trithuria_filamentosa", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR4180047	MaterialCitation	Plantae
s07527	Barclaya longifolia	Nymphaeales	Nymphaeaceae	Barclaya	longifolia		K		Maurin, O.	4400	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Barclaya_longifolia", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5033816	MaterialCitation	Plantae
s05285	Euryale ferox	Nymphaeales	Nymphaeaceae	Euryale	ferox		K		Maurin, O.	4393	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Euryale_ferox", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7618328	MaterialCitation	Plantae
s18323	Nuphar advena	Nymphaeales	Nymphaeaceae	Nuphar	advena				Soltis	2783	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Nuphar_advena", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR364330	MaterialCitation	Plantae
s05296	Nuphar lutea	Nymphaeales	Nymphaeaceae	Nuphar	lutea		K		Maurin, O.	4398	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Nuphar_lutea", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7618331	MaterialCitation	Plantae
s05018	Nymphaea carpentariae	Nymphaeales	Nymphaeaceae	Nymphaea	carpentariae		K				{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Nymphaea_carpentariae", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7618266	MaterialCitation	Plantae
s05283	Nymphaea sp.	Nymphaeales	Nymphaeaceae	Nymphaea	sp.		K		Maurin, O.	4392	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Nymphaea_sp.", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7618327	MaterialCitation	Plantae
s08459	Nymphaea tetragona	Nymphaeales	Nymphaeaceae	Nymphaea	tetragona		K		Maurin, O.	4407	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Nymphaea_tetragona", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7618867	MaterialCitation	Plantae
s08508	Victoria amazonica	Nymphaeales	Nymphaeaceae	Victoria	amazonica		K		Maurin, O.	4423	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Victoria_amazonica", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034381	MaterialCitation	Plantae
s05022	Victoria cruziana	Nymphaeales	Nymphaeaceae	Victoria	cruziana		K				{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Victoria_cruziana", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7618268	MaterialCitation	Plantae
s06036	Victoria sp.	Nymphaeales	Nymphaeaceae	Victoria	sp.		K		Magdalena, C.	s.n.	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Victoria_sp.", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7618574	MaterialCitation	Plantae
s29309	Ceratophyllum demersum	Ceratophyllales	Ceratophyllaceae	Ceratophyllum	demersum						{"phylogenies": [{"phyloTreeTipLabel": "Ceratophyllales_Ceratophyllaceae_Ceratophyllum_demersum", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/SRR9651191	MaterialCitation	Plantae
s07569	Aciphylla glacialis	Apiales	Apiaceae	Aciphylla	glacialis	New Zealand	K		Melville, R.	5551	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Aciphylla_glacialis", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034281	MaterialCitation	Plantae
s11289	Actinolema eryngioides	Apiales	Apiaceae	Actinolema	eryngioides		K	K000994193	Rawi	28423	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Actinolema_eryngioides", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034334	MaterialCitation	Plantae
s11315	Actinotus helianthi	Apiales	Apiaceae	Actinotus	helianthi		K	K000370433	Hoogland, R.D.	11766	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Actinotus_helianthi", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034352	MaterialCitation	Plantae
s11288	Aegokeras caespitosa	Apiales	Apiaceae	Aegokeras	caespitosa		K	K000994191	Davis	37882	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Aegokeras_caespitosa", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034333	MaterialCitation	Plantae
s07570	Aegopodium podagraria	Apiales	Apiaceae	Aegopodium	podagraria	United Kingdom of Great Britain and Northern Ireland	K		Crawley, M.J.	365	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Aegopodium_podagraria", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034282	MaterialCitation	Plantae
s07571	Aethusa cynapium	Apiales	Apiaceae	Aethusa	cynapium	United Kingdom of Great Britain and Northern Ireland	K		Sheahan, M-C.	84	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Aethusa_cynapium", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034283	MaterialCitation	Plantae
s11287	Afroligusticum elliotii	Apiales	Apiaceae	Afroligusticum	elliotii		K	K000994192	Newbould, J.G.B.	1764	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Afroligusticum_elliotii", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034332	MaterialCitation	Plantae
s27359	Afrosciadium dispersum	Apiales	Apiaceae	Afrosciadium	dispersum		K		Suleiman, H.O.	TTSA/MSB279	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Afrosciadium_dispersum", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR10978295	MaterialCitation	Plantae
s27365	Agasyllis latifolia	Apiales	Apiaceae	Agasyllis	latifolia		NYBG		Shetekauri, S.	221	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Agasyllis_latifolia", "phyloTreeFileName": "global_tree_renamed.nex"}]}		MaterialCitation	Plantae
s07573	Alepidea amatymbica	Apiales	Apiaceae	Alepidea	amatymbica	South Africa	K		Chase, M.W.	6576	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Alepidea_amatymbica", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034284	MaterialCitation	Plantae
s07572	Alepidea natalensis	Apiales	Apiaceae	Alepidea	natalensis	South Africa	K		Chase, M.W.	6527	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Alepidea_natalensis", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5970515	MaterialCitation	Plantae
s07575	Ammodaucus leucotrichus	Apiales	Apiaceae	Ammodaucus	leucotrichus	Morocco	K		Bramwell	575	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Ammodaucus_leucotrichus", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034285	MaterialCitation	Plantae
s11285	Ammoselinum popei	Apiales	Apiaceae	Ammoselinum	popei		K	K000994189	Barkley, F.A.	14322	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Ammoselinum_popei", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034947	MaterialCitation	Plantae
s27355	Anethum graveolens	Apiales	Apiaceae	Anethum	graveolens		K		Breidy, J.	LEB-368	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Anethum_graveolens", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR9230232	MaterialCitation	Plantae
s18139	Angelica archangelica	Apiales	Apiaceae	Angelica	archangelica				Deyholos, M.K.	2016-116	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Angelica_archangelica", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR2040639	MaterialCitation	Plantae
s10231	Angelica decursiva	Apiales	Apiaceae	Angelica	decursiva		K	K001382001	Taquet	853	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Angelica_decursiva", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034513	MaterialCitation	Plantae
s11282	Anginon difforme	Apiales	Apiaceae	Anginon	difforme		K	K000994186	Bayliss, R.D.A.	6078	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Anginon_difforme", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034330	MaterialCitation	Plantae
s07576	Anisosciadium isosciadium	Apiales	Apiaceae	Anisosciadium	isosciadium	Kuwait	K		Boulos, L.	17617	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Anisosciadium_isosciadium", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034286	MaterialCitation	Plantae
s07577	Anisotome haastii	Apiales	Apiaceae	Anisotome	haastii	New Zealand	K		Melville, R.	6014	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Anisotome_haastii", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034287	MaterialCitation	Plantae
s07578	Annesorhiza altiscapa	Apiales	Apiaceae	Annesorhiza	altiscapa	South Africa	K		Goldblatt, P.	12423	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Annesorhiza_altiscapa", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034288	MaterialCitation	Plantae
s07579	Anthriscus sylvestris	Apiales	Apiaceae	Anthriscus	sylvestris	United Kingdom of Great Britain and Northern Ireland	K		Fay, M.F.	205	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Anthriscus_sylvestris", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034289	MaterialCitation	Plantae
s07581	Aphanopleura breviseta	Apiales	Apiaceae	Aphanopleura	breviseta	Iran (Islamic Republic of)	K		Rechinger	46085	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Aphanopleura_breviseta", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034941	MaterialCitation	Plantae
s27363	Apiastrum angustifolium	Apiales	Apiaceae	Apiastrum	angustifolium		K		Lippitt, L	ZSSD-0280	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Apiastrum_angustifolium", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR10978297	MaterialCitation	Plantae
s07582	Apium graveolens	Apiales	Apiaceae	Apium	graveolens		K		Chase, M.W.	2523	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Apium_graveolens", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034290	MaterialCitation	Plantae
s11248	Apodicarpum ikenoi	Apiales	Apiaceae	Apodicarpum	ikenoi		K	K000544159	Ohwi, J.	227	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Apodicarpum_ikenoi", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5970525	MaterialCitation	Plantae
s07584	Arctopus echinatus	Apiales	Apiaceae	Arctopus	echinatus	South Africa	K		Manning, J.C.	2845	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Arctopus_echinatus", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034291	MaterialCitation	Plantae
s11298	Artedia squamata	Apiales	Apiaceae	Artedia	squamata		K	K000501993	Cribb, P.J.	s.n.	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Artedia_squamata", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034339	MaterialCitation	Plantae
s11314	Asteriscium chilense	Apiales	Apiaceae	Asteriscium	chilense		K	K000370434	Morrison, J.L.	16904	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Asteriscium_chilense", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034351	MaterialCitation	Plantae
s11297	Astomaea seselifolia	Apiales	Apiaceae	Astomaea	seselifolia		K	K000501992	Hepper, F.N.	13091	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Astomaea_seselifolia", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034338	MaterialCitation	Plantae
s27357	Astrodaucus littoralis	Apiales	Apiaceae	Astrodaucus	littoralis		K				{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Astrodaucus_littoralis", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR10978294	MaterialCitation	Plantae
s27369	Astydamia latifolia	Apiales	Apiaceae	Astydamia	latifolia		WS		Mort	s.n.	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Astydamia_latifolia", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR10978298	MaterialCitation	Plantae
s11294	Aulacospermum roseum	Apiales	Apiaceae	Aulacospermum	roseum		K	K000501989	Pimenov, M.G.	1179	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Aulacospermum_roseum", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034949	MaterialCitation	Plantae
s11260	Azorella acaulis	Apiales	Apiaceae	Azorella	acaulis		K	K000373993	Tweedie, R.	42	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Azorella_acaulis", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5010317	MaterialCitation	Plantae
s07585	Azorella lycopodioides	Apiales	Apiaceae	Azorella	lycopodioides	Falkland Islands (the) [Malvinas]	K	K000649056	Lewis, R.	s.n.	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Azorella_lycopodioides", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034292	MaterialCitation	Plantae
s28293	Berula erecta	Apiales	Apiaceae	Berula	erecta		MEL	MEL 2457412A	Stajsic, V.	9061	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Berula_erecta", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7599648	MaterialCitation	Plantae
s12659	Bifora radians	Apiales	Apiaceae	Bifora	radians		K	K001275345	Barclay, C.	3713	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Bifora_radians", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7620630	MaterialCitation	Plantae
s11313	Bolax gummifera	Apiales	Apiaceae	Bolax	gummifera		K	K000370435	Moore, D.M.	1392	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Bolax_gummifera", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034350	MaterialCitation	Plantae
s11249	Bonannia graeca	Apiales	Apiaceae	Bonannia	graeca	Italy	K	K000544160	Citarda	1011	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Bonannia_graeca", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5970526	MaterialCitation	Plantae
s11312	Bowlesia flabilis	Apiales	Apiaceae	Bowlesia	flabilis		K	K000370436	Wood. J.R.I	19501	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Bowlesia_flabilis", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034349	MaterialCitation	Plantae
s26567	Brachyscias verecundus	Apiales	Apiaceae	Brachyscias	verecundus		PERTH	PERTH 8726515	Perkins, A.J.	WA106	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Brachyscias_verecundus", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7599205	MaterialCitation	Plantae
s07588	Bunium bulbocastanum	Apiales	Apiaceae	Bunium	bulbocastanum	United Kingdom of Great Britain and Northern Ireland	K		Sheahan, M-C.	295	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Bunium_bulbocastanum", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034293	MaterialCitation	Plantae
s12657	Cachrys cristata	Apiales	Apiaceae	Cachrys	cristata		K	K001275344	Stainton, J.D.A.	7653	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Cachrys_cristata", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5970590	MaterialCitation	Plantae
s11293	Cannaboides betsileensis	Apiales	Apiaceae	Cannaboides	betsileensis		K	K000501988	Bosser, J.	19.529	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Cannaboides_betsileensis", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034948	MaterialCitation	Plantae
s07589	Capnophyllum africanum	Apiales	Apiaceae	Capnophyllum	africanum	South Africa	K		Forest, F. 	654	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Capnophyllum_africanum", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034294	MaterialCitation	Plantae
s27371	Carlesia sinensis	Apiales	Apiaceae	Carlesia	sinensis		NYBG		Chiao, C.Y.	2805	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Carlesia_sinensis", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR10978299	MaterialCitation	Plantae
s27373	Caropodium platycarpum	Apiales	Apiaceae	Caropodium	platycarpum		NYBG		Karjagin, I.	4380	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Caropodium_platycarpum", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR10978300	MaterialCitation	Plantae
s12655	Caucalis platycarpos	Apiales	Apiaceae	Caucalis	platycarpos		K	K001275343	Schleich, M.	3651	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Caucalis_platycarpos", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5970589	MaterialCitation	Plantae
s11292	Cenolophium fischeri	Apiales	Apiaceae	Cenolophium	fischeri		K	K000501987			{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Cenolophium_fischeri", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034337	MaterialCitation	Plantae
s18287	Centella asiatica	Apiales	Apiaceae	Centella	asiatica		ALTA	132726	Deyholos, M.	s.n.	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Centella_asiatica", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR2040646	MaterialCitation	Plantae
s11311	Centella villosa	Apiales	Apiaceae	Centella	villosa		K	K000370437	Acocks, J.P.H.	22524	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Centella_villosa", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034348	MaterialCitation	Plantae
s11250	Cephalopodum afghanicum	Apiales	Apiaceae	Cephalopodum	afghanicum		K	K000544161	Pimenov, M.G.	N78	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Cephalopodum_afghanicum", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5970527	MaterialCitation	Plantae
s07590	Chaerophyllum temulum	Apiales	Apiaceae	Chaerophyllum	temulum		K		Sheahan, M-C.	180	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Chaerophyllum_temulum", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034295	MaterialCitation	Plantae
s11291	Chaetosciadium trichospermum	Apiales	Apiaceae	Chaetosciadium	trichospermum		K	K000501986	Hepper, F.N.	13400	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Chaetosciadium_trichospermum", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034336	MaterialCitation	Plantae
s11290	Chamaesciadium acaule	Apiales	Apiaceae	Chamaesciadium	acaule		K	K000501985	Davis	30577	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Chamaesciadium_acaule", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034335	MaterialCitation	Plantae
s20143	Chamaesium paradoxum	Apiales	Apiaceae	Chamaesium	paradoxum						{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Chamaesium_paradoxum", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/SRR8863751	MaterialCitation	Plantae
s11299	Chamarea capensis	Apiales	Apiaceae	Chamarea	capensis		K	K000544172	Esterhuysen, E.	24302	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Chamarea_capensis", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034340	MaterialCitation	Plantae
s11310	Chlaenosciadium gardneri	Apiales	Apiaceae	Chlaenosciadium	gardneri		K	K000370438	Melville, R.	138	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Chlaenosciadium_gardneri", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034347	MaterialCitation	Plantae
